,percentile_position_ls_0,percentile_position_ls_1
val_MCC,0.39132720952889344,0.4172748728222305
val_MCC_std,0.09764648563835193,0.14267922863487184
val_acc,0.6405405405405407,0.6675675675675679
val_acc_std,0.046890139386209374,0.07553074925666012
val_recall,0.39761904761904776,0.4659523809523809
val_recall_std,0.06533534635243926,0.11690476190476191
val_precision,0.8947474747474752,0.8704689754689755
val_precision_std,0.0908268988715153,0.09594170351477489
val_F1,0.5470290917009493,0.5999021282595352
val_F1_std,0.07225126256503717,0.11430294691672892
val_bal_acc,0.3376925770308123,0.3824964985994398
val_bal_acc_std,0.08705659351257165,0.1449148558034875
test_MCC,0.4390333027426432,0.47158622554681146
test_MCC_std,0.06430397776902083,0.07258610631136626
test_acc,0.6807999999999998,0.6967999999999999
test_acc_std,0.03188981028479158,0.04255067567031104
test_recall,0.48985507246376814,0.5072463768115943
test_recall_std,0.05567934119506825,0.07777627747825357
test_precision,0.881256431899366,0.9013135468109322
test_precision_std,0.05661889937894751,0.04621020326516249
test_F1,0.627361906382082,0.645716784578
test_F1_std,0.04584385218859533,0.06171811580177219
test_bal_acc,0.4059265010351966,0.437603519668737
test_bal_acc_std,0.06116933449958234,0.07827410366184279
val_agreement_percentage,24.594594594594597,29.459459459459463
val_agreement_percentage_std,4.089931337951771,6.669709556353007
test_agreement_percentage,30.8,31.119999999999997
test_agreement_percentage_std,4.019950248448355,4.819294554185292
